device,mesh,passed,status,N,h_min_nm,BV,BV_shift_vs_finest_pct,sze,points,rejections,max_nonconservation,snapback_mV,J_end,seconds
n+p flat 1e17/1e20,"very coarse (3.0, 1.25)",True,reached_J_stop,77,1.226536355322362,-15.02349206029617,0.23569633195624817,10.961986342525709,67,7,7.02673877085842e-06,0.0,-1475.6054738037221,1.1709508895874023
p+n flat 1e19/1e16 (high BV),"fine (0.05, 1.06)",True,reached_J_stop,298,0.06464414193033752,-51.827770599559976,-0.0,61.64377926574414,125,1,1.8525905898735401e-06,0.0,-1736.9273425460674,2.2124710083007812
p+n flat 1e19/1e16 (high BV),"medium (0.3, 1.10)",True,reached_J_stop,173,0.38786485158202505,-51.811238864972,-0.03189744493489534,61.64377926574414,121,5,1.7728877834100155e-06,0.0,-2065.684553913933,2.1673479080200195
p+n flat 1e19/1e16 (high BV),"coarse (1.0, 1.15)",True,reached_J_stop,123,1.2928828386067504,-51.857022955899595,0.056441471437451936,61.64377926574414,118,9,1.604051059462057e-06,0.0,-1279.4164364576172,2.4448928833007812
p+n flat 1e19/1e16 (high BV),"very coarse (3.0, 1.25)",True,reached_J_stop,93,3.878648515820251,-51.91784621768716,0.17379797951014334,61.64377926574414,143,25,1.3816170288026857e-06,0.0,-1490.5755577774419,3.5126352310180664
p+n gaussian p+ / flat n,"fine (0.05, 1.06)",True,reached_J_stop,243,0.4709868116965933,-15.075287824454824,-0.0,10.961986342525709,71,0,1.3009349286387695e-06,0.0,-1578.4256450656087,0.8773438930511475
p+n gaussian p+ / flat n,"medium (0.3, 1.10)",True,reached_J_stop,159,2.825920870179559,-15.053407562021263,-0.14513993157773641,10.961986342525709,66,0,1.6251055620548574e-06,0.0,-1604.6339768785208,1.0880141258239746
p+n gaussian p+ / flat n,"coarse (1.0, 1.15)",True,reached_J_stop,127,9.41973623393186,-14.995428742489045,-0.5297350398592934,10.961986342525709,67,3,1.2254312925516816e-06,0.0,-1430.4362693599746,1.2231550216674805
p+n gaussian p+ / flat n,"very coarse (3.0, 1.25)",True,reached_J_stop,85,28.259208701795565,-15.380175957710728,2.0224365651004077,10.961986342525709,72,8,1.2302453575747315e-06,0.0,-1252.4733154857418,1.2533810138702393
gaussian p+ / gaussian n-well,"fine (0.05, 1.06)",True,reached_J_stop,245,0.4709868116965933,-14.309044276745684,-0.0,15.26927507797791,68,0,1.1370671715034443e-06,0.0,-1180.4406006175104,0.8602209091186523
gaussian p+ / gaussian n-well,"medium (0.3, 1.10)",True,reached_J_stop,162,2.825920870179559,-14.311734774626608,0.01880277836092741,15.26927507797791,66,0,1.6587200019936026e-06,0.0,-1245.8924548033206,1.0670180320739746
gaussian p+ / gaussian n-well,"coarse (1.0, 1.15)",True,reached_J_stop,130,9.41973623393186,-14.302365709237067,-0.04667374968900342,15.26927507797791,68,2,2.010535985057139e-06,0.0,-1206.2914465889999,1.1242051124572754
gaussian p+ / gaussian n-well,"very coarse (3.0, 1.25)",True,reached_J_stop,89,28.259208701795565,-14.57104831142534,1.8310379757888586,15.26927507797791,71,10,1.1596114022172463e-06,0.0,-2697.3748326259347,1.1167941093444824
log-graded both sides,"fine (0.05, 1.06)",True,reached_J_stop,213,0.6464414193033753,-17.55490953661921,-0.0,27.04259198394184,71,0,2.422425279582317e-06,0.0,-1813.5791583752655,1.0211131572723389
log-graded both sides,"medium (0.3, 1.10)",True,reached_J_stop,135,3.878648515820251,-17.556867079680696,0.011150972082214581,27.04259198394184,64,2,2.0429598155868958e-06,0.0,-2255.120175959406,0.8364400863647461
log-graded both sides,"coarse (1.0, 1.15)",True,reached_J_stop,97,12.928828386067497,-17.575634353497115,0.11805709869751084,27.04259198394184,68,4,3.204744417030368e-06,0.0,-1591.3917988650617,1.162519931793213
log-graded both sides,"very coarse (3.0, 1.25)",True,reached_J_stop,72,38.78648515820251,-17.788107320561885,1.328390690115655,27.04259198394184,71,10,1.629318149898268e-06,0.0,-1037.9487022639555,1.2333879470825195
n+p gaussian n+ / flat p 5e17,"fine (0.05, 1.06)",True,reached_J_stop,240,0.28909739140675833,-8.114372440738086,-0.0,5.108643218032068,48,0,1.8366053435823071e-06,0.0,-1118.1275183030282,0.5636239051818848
n+p gaussian n+ / flat p 5e17,"medium (0.3, 1.10)",True,reached_J_stop,144,1.7345843484405499,-8.12100482763243,0.08173628882310192,5.108643218032068,53,0,2.159794446807496e-06,0.0,-1203.5827679392023,0.6163008213043213
n+p gaussian n+ / flat p 5e17,"coarse (1.0, 1.15)",True,reached_J_stop,99,5.781947828135156,-8.205248078532149,1.1199342704288948,5.108643218032068,50,1,2.0114207465051103e-06,0.0,-1945.8233197874983,0.8788619041442871
n+p gaussian n+ / flat p 5e17,"very coarse (3.0, 1.25)",True,reached_J_stop,52,17.345843484405467,-8.883300430505233,9.476123944061978,5.108643218032068,59,6,5.141557561953446e-06,0.0,-2283.6012203925598,0.8948338031768799
