Va_V,J_A_cm2,I_A,J_no_avalanche_A_cm2,M_numeric,M_miller,ionization_integral_depletion_approx,J_std_over_J
-9.301390349279954,-3.832993811586312e-05,-3.832993811586312e-09,-2.291575593599511e-05,1.6726455903493047,2.5700865285533463,0.5982033742091393,3.413482718121394e-07
-9.74336703923838,-4.171432316705418e-05,-4.171432316705418e-09,-2.3021301512624315e-05,1.8119880469911345,3.357932727641102,0.638265785928723,6.861778978367528e-08
-10.177722877352975,-4.72403652069928e-05,-4.724036520699281e-09,-2.397400489384436e-05,1.9704828382312705,5.008957008260061,0.6774265302952546,1.945905501111742e-07
-10.604560986525033,-5.4559433824047646e-05,-5.455943382404765e-09,-2.5219351095562125e-05,2.163395624943281,10.563799310905921,0.7156387390217946,5.271748290024138e-07
-11.037703014348898,-6.17521046598772e-05,-6.17521046598772e-09,-2.536168144089337e-05,2.4348584617227953,nan,0.7540822423019297,1.8798547184388719e-07
-11.465597673625611,-7.105898611059098e-05,-7.105898611059099e-09,-2.541365692321953e-05,2.796094490662105,nan,0.7916821767147674,8.726461239941527e-08
-11.882562516096796,-8.444790782858971e-05,-8.444790782858971e-09,-2.5783943603275483e-05,3.2752130212486894,nan,0.827920758998963,2.9763869712577205e-07
-12.274855149508829,-0.0001061647578507188,-1.061647578507188e-08,-2.7274544384097164e-05,3.8924484440744593,nan,0.8616248958576622,1.228848914293665e-07
-12.654175349698306,-0.00013534313427220323,-1.3534313427220323e-08,-2.7962410059811794e-05,4.8401812999202605,nan,0.8938337868900056,5.333140634280375e-07
-13.01010898589191,-0.00017883344293699433,-1.7883344293699436e-08,-2.8036384397703996e-05,6.37862002461486,nan,0.9237003551785187,7.052355325945386e-07
-13.454295767599804,-0.0003031052317725259,-3.031052317725259e-08,-2.8064954627735782e-05,10.80013261353987,nan,0.9604714493904266,1.909698456202716e-07
-13.618230344659002,-0.0004104460448893751,-4.1044604488937514e-08,-2.808486767466974e-05,14.614490965167123,nan,0.9738986418640646,1.169494967728698e-07
-13.742829501179946,-0.0005631531399471589,-5.6315313994715897e-08,-2.8112057761666314e-05,20.032441051507664,nan,0.9840514029486929,2.2409134832716945e-07
-13.872540458459708,-0.0009220210587367402,-9.220210587367402e-08,-2.8163271389737483e-05,32.73842182526845,nan,0.9945720455648887,2.836101584211684e-07
-13.980339852177956,-0.00196534600883925,-1.96534600883925e-07,-2.8239146080018428e-05,69.59650986861453,nan,1.008905614702109,2.567264376976843e-07
-14.040639369094757,-0.00535040431294274,-5.35040431294274e-07,-2.8303026627448523e-05,189.04000562801545,nan,1.0209249246878593,1.7789709121153693e-07
-14.062802474255266,-0.014550838681440829,-1.455083868144083e-06,-2.8331670005623086e-05,513.5891628891934,nan,1.0253676523919593,1.1235775335018745e-06
-14.070954298928298,-0.039555841689817975,-3.955584168981798e-06,-2.834300096842269e-05,1395.6123324374742,nan,1.0270051284215254,1.3429896556509446e-06
-14.073951040219434,-0.10752487123249391,-1.0752487123249391e-05,-2.8347279078125174e-05,3793.128466974029,nan,1.0276075505300337,1.4985333820976162e-06
-14.075048983547354,-0.29228325429402996,-2.9228325429402998e-05,-2.8348861905212105e-05,10310.228864612443,nan,1.027828327309479,1.3872007817001244e-06
-14.075450182762399,-0.7945083877744724,-7.945083877744724e-05,-2.8349442360896634e-05,28025.53848009248,nan,1.0279090095858328,1.075592504164495e-06
-14.075615431448112,-2.159697743676085,-0.00021596977436760852,-2.8349681766662665e-05,76180.66973209362,nan,1.02794224284492,4.780389375739e-07
-14.075760161198378,-5.870667071349008,-0.0005870667071349008,-2.8349891600696918e-05,207078.99536394313,nan,1.0279713501469994,1.3017179663089916e-07
-14.076036733894774,-15.95812714933929,-0.0015958127149339292,-2.8350292988696006e-05,562891.0839017504,nan,1.0280269746286894,7.458504754951666e-08
-14.076769203019625,-43.37867991544632,-0.0043378679915446324,-2.8351358580315797e-05,1530038.8442606737,nan,1.028174299480555,1.7942372417885388e-08
-14.078751260548584,-117.91533779299819,-0.011791533779299819,-2.835426080877264e-05,4158646.158623041,nan,1.0285730338701042,1.188587652001736e-08
-14.084134125116579,-320.5243298646083,-0.032052432986460835,-2.8362282288439908e-05,11301076.782359289,nan,1.0296564581745675,3.5693782073469497e-09
-14.098760211474112,-871.2194897550087,-0.08712194897550088,-2.838513904146102e-05,30692803.318048004,nan,1.032604325630313,1.5114425035542426e-09
-14.138483898791653,-2367.0976711343937,-0.23670976711343938,-2.845566068798471e-05,83185475.71569447,nan,1.040640370203422,4.6311604144319684e-10
